Subject,Mode,LambdaMMD,LambdaSrc,LR,EncDim,DecDim,Dropout,MSE
S006,SDA,1.5,0.5,0.0001,128,64,0.3,0.04201108159031719
S006,SDA,1.5,0.5,0.0001,64,128,0.3,0.02788846255862154
S006,SDA,1.5,0.5,0.0001,256,32,0.3,0.03101011732360348
S006,SDA,1.5,0.5,0.0001,256,64,0.3,0.028664084209594876
S006,SDA,1.5,0.5,0.0001,256,128,0.3,0.04196810978464782
S006,SDA,2.0,0.3,0.0001,64,32,0.3,0.03768968035001308
S006,SDA,2.0,0.3,0.0001,64,64,0.3,0.044589067227207124
S006,SDA,2.0,0.3,0.0001,64,128,0.3,0.046200340148061514
S006,SDA,2.0,0.3,0.0001,128,32,0.3,0.05567416734993458
S006,SDA,2.0,0.3,0.0001,128,64,0.3,0.046725312480702996
S006,SDA,2.0,0.3,0.0001,256,32,0.3,0.04379748448263854
S006,SDA,2.0,0.3,0.0001,128,128,0.3,0.04969809565227479
S006,SDA,2.0,0.3,0.0001,256,64,0.3,0.04844497505109757
S006,SDA,2.0,0.3,0.0001,256,128,0.3,0.04995400458574295
S006,SDA,2.0,0.5,0.0001,64,32,0.3,0.036854625679552555
S006,SDA,2.0,0.5,0.0001,64,128,0.3,0.04012028983561322
S006,SDA,2.0,0.5,0.0001,128,64,0.3,0.05341262219008058
S006,SDA,2.0,0.5,0.0001,64,64,0.3,0.039812942035496235
S006,SDA,2.0,0.5,0.0001,128,32,0.3,0.03816471772734076
S006,SDA,2.0,0.5,0.0001,128,128,0.3,0.04939304606523365
S006,SDA,2.0,0.5,0.0001,256,64,0.3,0.05112441012170166
S006,SDA,2.0,0.5,0.0001,256,128,0.3,0.03785649285418913
S006,SDA,2.0,0.5,0.0001,256,32,0.3,0.037638812558725476
S007,SDA,0.5,0.3,0.0001,64,32,0.3,0.009752082405611873
S007,SDA,0.5,0.3,0.0001,128,32,0.3,0.010021195436517397
S007,SDA,0.5,0.3,0.0001,64,64,0.3,0.0060371748404577374
S007,SDA,0.5,0.3,0.0001,128,64,0.3,0.004609786284466584
S007,SDA,0.5,0.3,0.0001,64,128,0.3,0.0056130496474603815
S007,SDA,0.5,0.3,0.0001,128,128,0.3,0.005765426632327338
S007,SDA,0.5,0.3,0.0001,256,32,0.3,0.005992160489161809
S007,SDA,0.5,0.3,0.0001,256,64,0.3,0.005647497523265581
S007,SDA,0.5,0.5,0.0001,64,32,0.3,0.01182431261986494
S007,SDA,0.5,0.3,0.0001,256,128,0.3,0.0056850481778383255
S007,SDA,0.5,0.5,0.0001,64,64,0.3,0.007642201458414395
S007,SDA,0.5,0.5,0.0001,128,32,0.3,0.006605875212699175
S007,SDA,0.5,0.5,0.0001,128,128,0.3,0.006258081994019449
S007,SDA,0.5,0.5,0.0001,128,64,0.3,0.007020012630770604
S007,SDA,0.5,0.5,0.0001,256,32,0.3,0.005657910369336605
S007,SDA,0.5,0.5,0.0001,64,128,0.3,0.006186380671958129
S007,SDA,0.5,0.5,0.0001,256,64,0.3,0.006335786078125238
S007,SDA,0.5,0.5,0.0001,256,128,0.3,0.006610620747475575
S007,SDA,1.0,0.3,0.0001,64,32,0.3,0.010476064713050922
S007,SDA,1.0,0.3,0.0001,64,64,0.3,0.02045464577774207
S007,SDA,1.0,0.3,0.0001,128,32,0.3,0.027810913200179737
S007,SDA,1.0,0.3,0.0001,64,128,0.3,0.00815220825218906
S007,SDA,1.0,0.3,0.0001,128,64,0.3,0.007674647339930137
S007,SDA,1.0,0.3,0.0001,256,32,0.3,0.011555005641033253
S007,SDA,1.0,0.3,0.0001,128,128,0.3,0.015566489969690641
S007,SDA,1.0,0.5,0.0001,64,32,0.3,0.00921070210946103
S007,SDA,1.0,0.3,0.0001,256,128,0.3,0.007078428209448854
S007,SDA,1.0,0.5,0.0001,64,64,0.3,0.009960347010443607
S007,SDA,1.0,0.3,0.0001,256,64,0.3,0.0069725061766803265
S007,SDA,1.0,0.5,0.0001,64,128,0.3,0.007143186094860236
S007,SDA,1.0,0.5,0.0001,128,32,0.3,0.005069801506275932
S007,SDA,1.0,0.5,0.0001,128,64,0.3,0.0063324711518362164
S007,SDA,1.0,0.5,0.0001,128,128,0.3,0.007129926156873505
S007,SDA,1.0,0.5,0.0001,256,64,0.3,0.006391855364199728
S007,SDA,1.5,0.3,0.0001,64,32,0.3,0.01349979949494203
S007,SDA,1.0,0.5,0.0001,256,32,0.3,0.006280189108413954
S007,SDA,1.0,0.5,0.0001,256,128,0.3,0.006249306878695886
S007,SDA,1.5,0.3,0.0001,128,32,0.3,0.014504806138575077
S007,SDA,1.5,0.3,0.0001,64,64,0.3,0.013385120468835035
S007,SDA,1.5,0.3,0.0001,64,128,0.3,0.01718687204023202
S007,SDA,1.5,0.3,0.0001,128,64,0.3,0.011796649700651566
S007,SDA,1.5,0.3,0.0001,256,64,0.3,0.013327480604251226
S007,SDA,1.5,0.3,0.0001,128,128,0.3,0.013978560455143452
S007,SDA,1.5,0.3,0.0001,256,32,0.3,0.013442684585849443
S007,SDA,1.5,0.3,0.0001,256,128,0.3,0.01242334737131993
S007,SDA,1.5,0.5,0.0001,64,32,0.3,0.023843807789186638
S007,SDA,1.5,0.5,0.0001,64,64,0.3,0.01054158698146542
S007,SDA,1.5,0.5,0.0001,64,128,0.3,0.013527503547569117
S007,SDA,1.5,0.5,0.0001,128,64,0.3,0.011532580945640802
S007,SDA,1.5,0.5,0.0001,128,32,0.3,0.010514333456133803
S007,SDA,1.5,0.5,0.0001,128,128,0.3,0.0075326364021748304
S007,SDA,1.5,0.5,0.0001,256,32,0.3,0.01134447594328473
S007,SDA,2.0,0.3,0.0001,64,32,0.3,0.018909524505337078
S007,SDA,1.5,0.5,0.0001,256,128,0.3,0.0092622876400128
S007,SDA,2.0,0.3,0.0001,64,64,0.3,0.014557634169856707
S007,SDA,1.5,0.5,0.0001,256,64,0.3,0.010143361209581295
S007,SDA,2.0,0.3,0.0001,128,32,0.3,0.017552840212980907
S007,SDA,2.0,0.3,0.0001,128,64,0.3,0.011546980900069078
S007,SDA,2.0,0.3,0.0001,64,128,0.3,0.009203456342220306
S007,SDA,2.0,0.3,0.0001,256,32,0.3,0.01225854984174172
S007,SDA,2.0,0.3,0.0001,256,64,0.3,0.015125551571448645
S007,SDA,2.0,0.3,0.0001,256,128,0.3,0.01209847287585338
S007,SDA,2.0,0.5,0.0001,64,32,0.3,0.02340282282481591
S007,SDA,2.0,0.5,0.0001,64,128,0.3,0.01292198213438193
S007,SDA,2.0,0.3,0.0001,128,128,0.3,0.2097782442967097
S007,SDA,2.0,0.5,0.0001,128,32,0.3,0.015073918427030245
S007,SDA,2.0,0.5,0.0001,64,64,0.3,0.014300884678959846
S007,SDA,2.0,0.5,0.0001,128,64,0.3,0.01259953435510397
S007,SDA,2.0,0.5,0.0001,256,32,0.3,0.01524198210487763
S007,SDA,2.0,0.5,0.0001,128,128,0.3,0.015403101220726967
S007,SDA,2.0,0.5,0.0001,256,128,0.3,0.012007500821103653
S008,SDA,0.5,0.3,0.0001,64,64,0.3,0.0454146017630895
S008,SDA,0.5,0.3,0.0001,64,32,0.3,0.04231660068035126
S008,SDA,0.5,0.3,0.0001,64,128,0.3,0.043077499916156135
S008,SDA,0.5,0.3,0.0001,128,64,0.3,0.0328261728088061
S008,SDA,0.5,0.3,0.0001,128,32,0.3,0.023532686134179432
S007,SDA,2.0,0.5,0.0001,256,64,0.3,0.007270658505149186
S008,SDA,0.5,0.3,0.0001,128,128,0.3,0.026425713673233986
S008,SDA,0.5,0.5,0.0001,64,32,0.3,0.025835243985056877
S008,SDA,0.5,0.3,0.0001,256,32,0.3,0.023951927820841473
S008,SDA,0.5,0.3,0.0001,256,64,0.3,0.02691877695421378
S008,SDA,0.5,0.3,0.0001,256,128,0.3,0.03048277584215005
S008,SDA,0.5,0.5,0.0001,64,128,0.3,0.030656979729731876
S008,SDA,0.5,0.5,0.0001,128,32,0.3,0.02779162861406803
S008,SDA,0.5,0.5,0.0001,64,64,0.3,0.037287212908267975
S008,SDA,0.5,0.5,0.0001,128,64,0.3,0.031028838207324345
S008,SDA,0.5,0.5,0.0001,256,32,0.3,0.03145045042037964
S008,SDA,0.5,0.5,0.0001,128,128,0.3,0.02620061549047629
S008,SDA,0.5,0.5,0.0001,256,64,0.3,0.0292471827318271
S008,SDA,0.5,0.5,0.0001,256,128,0.3,0.040286737183729805
S008,SDA,1.0,0.3,0.0001,64,32,0.3,0.031748877838253975
S008,SDA,1.0,0.3,0.0001,128,32,0.3,0.030356955404082935
S008,SDA,1.0,0.3,0.0001,64,64,0.3,0.0411144495010376
S008,SDA,1.0,0.3,0.0001,128,64,0.3,0.04257331043481827
S008,SDA,1.0,0.3,0.0001,64,128,0.3,0.03917256618539492
S008,SDA,1.0,0.3,0.0001,256,32,0.3,0.026197172080477078
S008,SDA,1.0,0.3,0.0001,128,128,0.3,0.023182581489284832
S008,SDA,1.0,0.3,0.0001,256,128,0.3,0.045631710439920425
S008,SDA,1.0,0.5,0.0001,64,32,0.3,0.03540006031592687
S008,SDA,1.0,0.3,0.0001,256,64,0.3,0.05475242187579473
S008,SDA,1.0,0.5,0.0001,64,128,0.3,0.028426356613636017
S008,SDA,1.0,0.5,0.0001,64,64,0.3,0.04393300289909045
S008,SDA,1.0,0.5,0.0001,128,64,0.3,0.04561077430844307
S008,SDA,1.0,0.5,0.0001,128,32,0.3,0.04524621491630872
S008,SDA,1.0,0.5,0.0001,256,64,0.3,0.02958039442698161
S008,SDA,1.0,0.5,0.0001,256,32,0.3,0.021679254869620006
S008,SDA,1.0,0.5,0.0001,128,128,0.3,0.03548405754069487
S008,SDA,1.0,0.5,0.0001,256,128,0.3,0.02770307908455531
S008,SDA,1.5,0.3,0.0001,64,64,0.3,0.029301383222142856
S008,SDA,1.5,0.3,0.0001,128,32,0.3,0.03480219841003418
S008,SDA,1.5,0.3,0.0001,64,128,0.3,0.03418124405046304
S008,SDA,1.5,0.3,0.0001,64,32,0.3,0.03064379779001077
S008,SDA,1.5,0.3,0.0001,128,64,0.3,0.03103349854548772
S008,SDA,1.5,0.3,0.0001,256,128,0.3,0.04296191098789374
S008,SDA,1.5,0.3,0.0001,256,64,0.3,0.026939835399389267
S008,SDA,1.5,0.3,0.0001,256,32,0.3,0.03710189834237099
S008,SDA,1.5,0.3,0.0001,128,128,0.3,0.030145080139239628
S008,SDA,1.5,0.5,0.0001,64,32,0.3,0.03210093515614668
S008,SDA,1.5,0.5,0.0001,64,64,0.3,0.02809080233176549
S008,SDA,1.5,0.5,0.0001,128,32,0.3,0.03690526572366556
S008,SDA,1.5,0.5,0.0001,128,128,0.3,0.03675036318600178
S008,SDA,1.5,0.5,0.0001,256,32,0.3,0.05203630278507868
S008,SDA,1.5,0.5,0.0001,64,128,0.3,0.04072684422135353
S008,SDA,1.5,0.5,0.0001,128,64,0.3,0.03371404856443405
S008,SDA,1.5,0.5,0.0001,256,64,0.3,0.041458367059628166
S008,SDA,1.5,0.5,0.0001,256,128,0.3,0.021801458050807316
S008,SDA,2.0,0.3,0.0001,64,64,0.3,0.03737141999105612
S008,SDA,2.0,0.3,0.0001,64,32,0.3,0.03265955174962679
S008,SDA,2.0,0.3,0.0001,128,32,0.3,0.027259330575664837
S008,SDA,2.0,0.3,0.0001,128,64,0.3,0.029821133861939114
S008,SDA,2.0,0.3,0.0001,128,128,0.3,0.034962015226483345
S008,SDA,2.0,0.3,0.0001,256,64,0.3,0.03316273664434751
S008,SDA,2.0,0.3,0.0001,256,32,0.3,0.03456692770123482
S008,SDA,2.0,0.3,0.0001,64,128,0.3,0.043770474071304
S008,SDA,2.0,0.5,0.0001,64,32,0.3,0.03444676101207733
S008,SDA,2.0,0.3,0.0001,256,128,0.3,0.044309016317129135
S008,SDA,2.0,0.5,0.0001,64,64,0.3,0.03126367491980394
S008,SDA,2.0,0.5,0.0001,64,128,0.3,0.03630871387819449
S008,SDA,2.0,0.5,0.0001,128,32,0.3,0.03369027003645897
S008,SDA,2.0,0.5,0.0001,128,128,0.3,0.035080489392081894
S008,SDA,2.0,0.5,0.0001,128,64,0.3,0.03416842222213745
S008,SDA,2.0,0.5,0.0001,256,32,0.3,0.04343066488703092
S008,SDA,2.0,0.5,0.0001,256,128,0.3,0.03323151978353659
S008,SDA,2.0,0.5,0.0001,256,64,0.3,0.03657133753101031
S013,SDA,0.5,0.3,0.0001,64,64,0.3,0.029701361199840903
S013,SDA,0.5,0.3,0.0001,64,32,0.3,0.06841058889403939
S013,SDA,0.5,0.3,0.0001,64,128,0.3,0.043273527175188065
S013,SDA,0.5,0.3,0.0001,128,32,0.3,0.05033385194838047
S013,SDA,0.5,0.3,0.0001,128,64,0.3,0.04949927609413862
S013,SDA,0.5,0.3,0.0001,128,128,0.3,0.04176001250743866
S013,SDA,0.5,0.3,0.0001,256,64,0.3,0.03635599836707115
S013,SDA,0.5,0.3,0.0001,256,32,0.3,0.04813507944345474
S013,SDA,0.5,0.5,0.0001,64,32,0.3,0.0658624661155045
S013,SDA,0.5,0.3,0.0001,256,128,0.3,0.046433234587311745
S013,SDA,0.5,0.5,0.0001,64,128,0.3,0.04128752974793315
S013,SDA,0.5,0.5,0.0001,128,32,0.3,0.03297756426036358
S013,SDA,0.5,0.5,0.0001,128,64,0.3,0.07065012492239475
S013,SDA,0.5,0.5,0.0001,128,128,0.3,0.05115277227014303
