Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S003,2.0,0.0001,128,32,0.3,0.04084441368468106
S003,2.0,0.0001,128,64,0.3,0.03583634179085493
S003,2.0,0.0001,128,64,0.2,0.03351488965563476
S003,2.0,0.0001,128,128,0.2,0.03297154337633401
S003,2.0,0.0001,256,32,0.2,0.0360472877509892
S003,2.0,0.0001,64,128,0.3,0.17526222579181194
S003,2.0,0.0001,128,128,0.3,0.358175590634346
S003,2.0,0.0001,256,64,0.3,0.03259590337984264
S003,2.0,0.0001,256,32,0.3,0.0431546657346189
S003,2.0,0.0001,256,64,0.2,0.03340576239861548
S004,0.5,0.001,64,32,0.2,0.15637731831520796
S003,2.0,0.0001,256,128,0.2,0.030611449386924505
S004,0.5,0.001,64,64,0.2,0.15592672070488334
S004,0.5,0.001,64,64,0.3,0.14557204023003578
S004,0.5,0.001,64,32,0.3,0.1687742155045271
S003,2.0,0.0001,256,128,0.3,0.06557542132213712
S004,0.5,0.001,64,128,0.3,0.15362239722162485
S004,0.5,0.001,128,32,0.3,0.14141207095235586
S004,0.5,0.001,128,32,0.2,0.16375125851482153
S004,0.5,0.001,128,64,0.2,0.15993356239050627
S004,0.5,0.001,64,128,0.2,0.13988495711237192
S004,0.5,0.001,128,64,0.3,0.133196703158319
S004,0.5,0.001,256,32,0.2,0.1373727871105075
S004,0.5,0.001,128,128,0.3,0.13040135195478797
S004,0.5,0.001,128,128,0.2,0.15699497610330582
S004,0.5,0.001,256,32,0.3,0.11849258560687304
S004,0.5,0.001,256,64,0.3,0.15065224468708038
S004,0.5,0.001,256,64,0.2,0.14496120903640985
S004,0.5,0.001,256,128,0.3,0.14880145527422428
S004,0.5,0.001,256,128,0.2,0.16842389106750488
S004,0.5,0.0001,64,32,0.2,0.13001606985926628
S004,0.5,0.0001,64,32,0.3,0.14237031433731318
S004,0.5,0.0001,64,64,0.2,0.1310190325602889
S004,0.5,0.0001,64,128,0.3,0.1229606973938644
S004,0.5,0.0001,64,128,0.2,0.12677993159741163
S004,0.5,0.0001,64,64,0.3,0.12294896924868226
S004,0.5,0.0001,128,32,0.3,0.12652206886559725
S004,0.5,0.0001,128,32,0.2,0.13649361208081245
S004,0.5,0.0001,128,64,0.3,0.14031598158180714
S004,0.5,0.0001,128,64,0.2,0.14396295603364706
S004,0.5,0.0001,256,32,0.2,0.13723450154066086
S004,0.5,0.0001,256,32,0.3,0.14343628007918596
S004,0.5,0.0001,256,64,0.2,0.13752926047891378
S004,0.5,0.0001,128,128,0.2,0.1321502337232232
S004,0.5,0.0001,256,128,0.2,0.13993291463702917
S004,1.0,0.001,64,32,0.2,0.11144575662910938
S004,0.5,0.0001,256,64,0.3,0.13928350992500782
S004,1.0,0.001,64,64,0.2,0.14533374179154634
S004,0.5,0.0001,256,128,0.3,0.14103164384141564
S004,1.0,0.001,64,32,0.3,0.12934066355228424
S004,1.0,0.001,64,128,0.2,0.11542977951467037
S004,1.0,0.001,64,128,0.3,0.1745751742273569
S004,1.0,0.001,128,32,0.2,0.15221455786377192
S004,1.0,0.001,128,32,0.3,0.17365363705903292
S004,1.0,0.001,64,64,0.3,0.1707832170650363
S004,1.0,0.001,128,64,0.3,0.13326491508632898
S004,1.0,0.001,128,128,0.3,0.13289364241063595
S004,1.0,0.001,128,64,0.2,0.1447762092575431
